aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,buildingAge,isHighFloor,dealYearMonth,dealQuarter,estateAgentSggNmClean,aptAddress,isStationNearby,aptLat,aptLng,area_bin,nearestElementaryDistance,nearestElementaryName,nearestMiddleDistance,nearestMiddleName,isSchoolPremium
307,주공3,1995,개인, , ,80000,26,3,2025,중개거래,서울 강서구,58.14,4,688,N,25.05.16,11500,개인,등촌동,30,0,2025-03,1,서울 강서구,서울 강서구 등촌동 688,1,37.5616418349754,126.841111422493,30~60,139.5977986133136,서울등명초등학교,251.74681000774885,등명중학교,True
102,가양강나루현대,1999,개인, , ,85000,29,3,2025,중개거래,서울 강서구,59.76,8,448-1,N,25.06.26,11500,개인,가양동,26,0,2025-03,1,서울 강서구,서울 강서구 가양동 448-1,1,37.5607561619781,126.856971359725,30~60,212.2597732587823,서울가양초등학교,88.37319482365415,경서중학교,True
609,가양6단지,1992,개인, , ,65000,26,3,2025,중개거래,"서울 강서구, 서울 금천구",39.6,7,1485,N,25.06.27,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1485,1,37.5632291233676,126.859294056062,30~60,131.42417741845085,서울가양초등학교,258.69662257001545,경서중학교,True
104,현대1,1994,개인, , ,85500,29,3,2025,중개거래,"서울 강서구, 서울 서초구",84.34,5,288,N,25.06.24,11500,개인,염창동,31,0,2025-03,1,서울 강서구,서울 강서구 염창동 288,0,37.552852468414,126.875104087032,60~90,257.3761938074449,서울염동초등학교,335.4453730018825,염창중학교,True
 ,청솔,1994,개인, , ,42800,26,3,2025,중개거래,서울 강서구,39.36,9,832,N, ,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 832,1,37.5756309765944,126.812965285254,30~60,151.84318398546318,서울치현초등학교,419.3136610500135,방원중학교,True
102,한진로즈힐,2004,개인, , ,80500,24,3,2025,중개거래,서울 강서구,84.93,3,579,N,25.06.30,11500,개인,방화동,21,0,2025-03,1,서울 강서구,서울 강서구 방화동 579,0,37.5715416391155,126.81336525129,60~90,498.84547464089263,서울치현초등학교,650.8007233528942,방원중학교,True
301,염창3차보람,2006,개인, , ,81000,24,3,2025,중개거래,서울 강서구,84.98,8,301,N,25.07.21,11500,개인,염창동,19,0,2025-03,1,서울 강서구,서울 강서구 염창동 301,0,37.5528773294775,126.873826815673,60~90,156.64470921814544,서울염동초등학교,239.69159024655298,염창중학교,True
303,강변,1992,개인, , ,73000,20,3,2025,중개거래,서울 강서구,49.5,1,1475,N,25.07.01,11500,개인,가양동,33,0,2025-03,1,서울 강서구,서울 강서구 가양동 1475,1,37.5652163063579,126.855667621933,30~60,336.3626633132198,서울탑산초등학교,478.4224789287357,경서중학교,True
 ,부영,1994,개인, , ,88400,8,3,2025,중개거래,서울 강서구,80.64,5,691-3,N, ,11500,개인,등촌동,31,0,2025-03,1,서울 강서구,서울 강서구 등촌동 691-3,0,37.5635578457422,126.843641011129,60~90,183.1686202822346,서울등양초등학교,374.60385491517957,등명중학교,True
102,강변한솔솔파크,2005,개인, , ,105000,29,3,2025,중개거래,서울 강서구,84.97,24,300,N,25.06.10,11500,개인,염창동,20,1,2025-03,1,서울 강서구,서울 강서구 염창동 300,0,37.5566842439508,126.866552401948,60~90,394.81737002060237,서울염창초등학교,424.5347607788511,염경중학교,True
103,장미,1994,개인, , ,42300,22,3,2025,중개거래,서울 강서구,39.96,4,841,N,25.06.05,11500,개인,방화동,31,0,2025-03,1,서울 강서구,서울 강서구 방화동 841,0,37.5742998188535,126.81749374049,30~60,309.19276268588396,서울치현초등학교,773.420013102415,마곡중학교,True
215,방화그린,1993,개인, , ,42450,22,3,2025,중개거래,서울 강서구,39.76,15,839,N,25.06.26,11500,개인,방화동,32,1,2025-03,1,서울 강서구,서울 강서구 방화동 839,0,37.5747821264629,126.818960346599,30~60,241.69726735105394,서울정곡초등학교,777.5305181791787,마곡중학교,True
102,강서쌍용예가,2014,개인, , ,89000,5,3,2025,중개거래,"서울 강서구, 서울 구로구",59.9194,5,308,N,25.05.02,11500,개인,염창동,11,0,2025-03,1,서울 강서구,서울 강서구 염창동 308,0,37.5554016793389,126.866556386664,30~60,258.47489868972553,서울염창초등학교,363.9018617687139,염경중학교,True
